1; Carlsen, Magnus; NOR; 2839; 1990
2; Caruana, Fabiano; USA; 2827; 1992
3; Mamedyarov, Shakhriyar; AZE; 2820; 1985
4; Ding, Liren; CHN; 2804; 1992
5; Aronian, Levon; ARM; 2780; 1982
6; Giri, Anish; NED; 2780; 1994
7; Vachier-Lagrave, Maxime; FRA; 2780; 1990
8; Kramnik, Vladimir; RUS; 2779; 1975
9; So, Wesley; USA; 2776; 1993
10; Anand, Viswanathan; IND; 2771; 1969
11; Grischuk, Alexander; RUS; 2769; 1983
12; Yu, Yangyi; CHN; 2765; 1994
13; Nakamura, Hikaru; USA; 2763; 1987
14; Karjakin, Sergey; RUS; 2760; 1990
15; Nepomniachtchi, Ian; RUS; 2759; 1990
16; Svidler, Peter; RUS; 2756; 1976
17; Jakovenko, Dmitry; RUS; 2752; 1983
18; Radjabov, Teimour; AZE; 2751; 1987
19; Wei, Yi; CHN; 2742; 1999
20; Navara, David; CZE; 2740; 1985
21; Topalov, Veselin; FID; 2740; 1975
22; Duda, Jan-Krzysztof; POL; 2739; 1998
23; Harikrishna, Pentala; IND; 2733; 1986
24; Wojtaszek, Radoslaw; POL; 2727; 1987
25; Rapport, Richard; HUN; 2725; 1996
26; Andreikin, Dmitry; RUS; 2723; 1990
27; Wang, Hao; CHN; 2722; 1989
28; Shankland, Samuel; USA; 2722; 1991
29; Naiditsch, Arkadij; AZE; 2721; 1985
30; Cheparinov, Ivan; GEO; 2715; 1986
31; Le, Quang Liem; VIE; 2715; 1991
32; Fedoseev, Vladimir; RUS; 2713; 1995
33; Vallejo Pons, Francisco; ESP; 2713; 1982
34; Adams, Michael; ENG; 2712; 1971
35; Bu, Xiangzhi; CHN; 2712; 1985
36; Vidit, Santosh Gujrathi; IND; 2711; 1994
37; Ivanchuk, Vassily; UKR; 2710; 1969
38; Vitiugov, Nikita; RUS; 2709; 1987
39; Li, Chao b; CHN; 2708; 1989
40; Artemiev, Vladislav; RUS; 2706; 1998
41; Tomashevsky, Evgeny; RUS; 2705; 1987
42; Dubov, Daniil; RUS; 2703; 1996
43; Eljanov, Pavel; UKR; 2703; 1983
44; Almasi, Zoltan; HUN; 2702; 1976
45; Gelfand, Boris; ISR; 2701; 1968
46; Mamedov, Rauf; AZE; 2699; 1988
47; Kryvoruchko, Yuriy; UKR; 2697; 1986
48; Korobov, Anton; UKR; 2694; 1985
49; Sadler, Matthew D; ENG; 2693; 1974
50; Nabaty, Tamir; ISR; 2692; 1991
51; Inarkiev, Ernesto; RUS; 2691; 1985
52; Sargissian, Gabriel; ARM; 2691; 1983
53; Ragger, Markus; AUT; 2690; 1988
54; Leko, Peter; HUN; 2690; 1979
55; Howell, David W L; ENG; 2689; 1990
56; Saric, Ivan; CRO; 2687; 1990
57; Amin, Bassem; EGY; 2686; 1988
58; Maghsoodloo, Parham; IRI; 2685; 2000
59; Matlakov, Maxim; RUS; 2683; 1991
60; Robson, Ray; USA; 2682; 1994
61; Ponomariov, Ruslan; UKR; 2681; 1983
62; Wang, Yue; CHN; 2681; 1987
63; Demchenko, Anton; RUS; 2679; 1987
64; Bacrot, Etienne; FRA; 2678; 1983
65; Jones, Gawain C B; ENG; 2677; 1987
66; Ni, Hua; CHN; 2676; 1983
67; Safarli, Eltaj; AZE; 2676; 1992
68; Rodshtein, Maxim; ISR; 2674; 1989
69; Sethuraman, S.P.; IND; 2673; 1993
70; McShane, Luke J; ENG; 2672; 1984
71; Sasikiran, Krishnan; IND; 2672; 1981
72; Adhiban, B.; IND; 2668; 1992
73; Nisipeanu, Liviu-Dieter; GER; 2667; 1976
74; Guseinov, Gadir; AZE; 2667; 1986
75; Berkes, Ferenc; HUN; 2666; 1985
76; Kamsky, Gata; USA; 2666; 1974
77; Laznicka, Viktor; CZE; 2664; 1988
78; Cori, Jorge; PER; 2664; 1995
79; Kovalev, Vladislav; BLR; 2664; 1994
80; Najer, Evgeniy; RUS; 2663; 1977
81; Hammer, Jon Ludvig; NOR; 2662; 1990
82; Kasimdzhanov, Rustam; UZB; 2662; 1979
83; Malakhov, Vladimir; RUS; 2661; 1980
84; Motylev, Alexander; RUS; 2661; 1979
85; Melkumyan, Hrant; ARM; 2660; 1989
86; Salem, A.R. Saleh; UAE; 2660; 1993
87; Hou, Yifan; CHN; 2658; 1994
88; Van Kampen, Robin; NED; 2658; 1994
89; Xiong, Jeffery; USA; 2656; 2000
90; Swiercz, Dariusz; POL; 2656; 1994
91; Lenic, Luka; SLO; 2656; 1988
92; Morozevich, Alexander; RUS; 2656; 1977
93; Kuzubov, Yuriy; UKR; 2655; 1990
94; Grandelius, Nils; SWE; 2655; 1993
95; Kravtsiv, Martyn; UKR; 2654; 1990
96; Sjugirov, Sanan; RUS; 2654; 1993
97; Mareco, Sandro; ARG; 2653; 1987
98; Bruzon Batista, Lazaro; CUB; 2653; 1982
99; Areshchenko, Alexander; UKR; 2652; 1986
100; Rublevsky, Sergei; RUS; 2652; 1974
